Year,RapeRate
1960,           9.6
1961,           9.4
1962,           9.4
1963,           9.4
1964,          11.2
1965,          12.1
1966,          13.2
1967,          14.0
1968,          15.9
1969,          18.5
1970,          18.7
1971,          20.5
1972,          22.5
1973,          24.5
1974,          26.2
1975,          26.3
1976,          26.6
1977,          29.4
1978,          31.0
1979,          34.7
1980,          36.8
1981,          36.0
1982,          34.0
1983,          33.8
1984,          35.7
1985,          36.8
1986,          38.1
1987,          37.6
1988,          37.8
1989,          38.3
1990,          41.1
1991,          42.3
1992,          42.8
1993,          41.1
1994,          39.3
1995,          37.1
1996,          36.3
1997,          35.9
1998,          34.5
1999,          32.8
2000,          32.0
2001,          31.8
2002,          33.1
2003,          32.3
2004,          32.4
2005,          31.8
2006,          31.6
2007,          30.6
2008,          29.8
2009,          29.1
2010,          27.7
2011,          27.0
2012,          27.1
2013,          25.9
2014,          26.4
